market_id,ts,side,token_price,token_id,trade_signal,result_win,queue_ahead,filled,fill_fraction,filled_ts,pnl
btc-updown-5m-1773081300,1773081508,UP,0.01,95968015956882659377975709396461910640524079430862393927479134687120380370281,True,False,7847.65,0.0,0.0,,0.0
btc-updown-5m-1773081300,1773081519,UP,0.01,95968015956882659377975709396461910640524079430862393927479134687120380370281,True,False,2102.42,0.0,0.0,,0.0
btc-updown-5m-1773082500,1773082713,UP,0.02,96991273339702766258937611363582564370022437508193785493335021453069996454970,True,False,6170.91,0.0,0.0,,0.0
btc-updown-5m-1773082500,1773082723,UP,0.02,96991273339702766258937611363582564370022437508193785493335021453069996454970,True,False,624.89,0.0,0.0,,0.0
btc-updown-5m-1773082500,1773082733,UP,0.01,96991273339702766258937611363582564370022437508193785493335021453069996454970,True,False,7968.91,0.0,0.0,,0.0
btc-updown-5m-1773082500,1773082743,UP,0.01,96991273339702766258937611363582564370022437508193785493335021453069996454970,True,False,2635.28,0.0,0.0,,0.0
btc-updown-5m-1773082500,1773082753,UP,0.01,96991273339702766258937611363582564370022437508193785493335021453069996454970,True,False,1855.58,0.0,0.0,,0.0
btc-updown-5m-1773082500,1773082764,UP,0.01,96991273339702766258937611363582564370022437508193785493335021453069996454970,True,False,554.25,0.0,0.0,,0.0
btc-updown-5m-1773082800,1773083007,DOWN,0.02,31671661906161491333355578731044165591549007980801685489030926504535569907943,True,False,5682.33,0.0,0.0,,0.0
btc-updown-5m-1773082800,1773083017,DOWN,0.02,31671661906161491333355578731044165591549007980801685489030926504535569907943,True,False,874.37,414.78000000000003,0.8295600000000001,1773083029,-8.2956
btc-updown-5m-1773084300,1773084490,DOWN,0.02,36450683607136283787553403665155392229633632244333569451820475239188936707462,True,False,822.23,0.0,0.0,,0.0
btc-updown-5m-1773084300,1773084510,DOWN,0.01,36450683607136283787553403665155392229633632244333569451820475239188936707462,True,False,3960.58,0.0,0.0,,0.0
btc-updown-5m-1773084300,1773084542,DOWN,0.01,36450683607136283787553403665155392229633632244333569451820475239188936707462,True,False,2134.26,0.0,0.0,,0.0
btc-updown-5m-1773084300,1773084552,DOWN,0.01,36450683607136283787553403665155392229633632244333569451820475239188936707462,True,False,497.47,0.0,0.0,,0.0
btc-updown-5m-1773084600,1773084864,UP,0.01,15146932017719413192944051795955818982922085901168703730058462472589433643745,True,False,9315.98,0.0,0.0,,0.0
btc-updown-5m-1773084900,1773085179,UP,0.01,100683205289482860478508203178983450051638977966171903706215502674621148587956,True,False,2377.68,0.0,0.0,,0.0
